Sentence,Emotion,Cleaned_Sentence
cho mình xin bài nhạc tên là gì với ạ,Other,cho mình xin bài nhạc tên là gì với ạ
cho đáng đời con quỷ . về nhà lôi con nhà mày ra mà đánh 😡,Disgust,cho đáng_đời con quỷ về nhà lôi con nhà mày ra mà đánh icon_tucgian
lo học đi . yêu đương lol gì hay lại thích học sinh học,Disgust,lo học đi yêu_đương lol gì hay lại thích học_sinh_học
uớc gì sau này về già vẫn có thể như cụ này :)),Enjoyment,uớc gì sau_này về già vẫn có_thể như cụ này icon_vui
mỗi lần có video của con là cứ coi đi coi lại hoài . cưng con quá .,Enjoyment,mỗi lần có video của con là cứ coi đi coi lại hoài cưng con quá
thằng kia sao mày bắt vợ với bồ tao dọn thế kia . nhà mày ở đâu tao đến thịt mày chết,Anger,thằng kia sao mày bắt vợ với bồ tao dọn thế kia nhà mày ở đâu tao đến thịt mày chết
một lí do trog muôn vàn lí do,Other,một lí_do trog muôn_vàn lí_do
thật hay đùa ác vậy . không thể tin được,Surprise,thật hay đùa ác_vậy không_thể tin được
"ko phải con mình , mà xem còn thấy đau như vậy huống gì người trong cuộc . thật là phẫn nộ mà . cơ quan chức năng làm việc quá chậm trễ , đến giờ mà vẫn chưa tìm ra người chịu trách nhiệm . 😠😠😠😠😠😠",Anger,không phải con mình mà xem còn thấy đau như vậy huống gì người trong cuộc thật là phẫn_nộ mà cơ_quan_chức_năng làm_việc quá chậm_trễ đến giờ mà vẫn chưa tìm ra người chịu trách_nhiệm icon_tucgian icon_tucgian icon_tucgian icon_tucgian icon_tucgian icon_tucgian
per nghe đi rồi khóc 1 trận cho thoải mái . đừng cố gồng mình lên nữa,Sadness,per nghe đi rồi khóc 1 trận cho thoải_mái đừng cố gồng mình lên nữa
công nhận sáng tạo thật đấy,Enjoyment,công_nhận sáng_tạo thật đấy
đòn tấn công cực gắt và cục sút của anh 😂😂😂,Disgust,đòn tấn_công cực gắt và cục sút của anh icon_vui icon_vui icon_vui
trời nắng nóng thế này mình muốn bán nước không biết thu nhập có cao không ạ :3,Other,trời nắng_nóng thế này mình muốn bán_nước không biết thu_nhập có cao không ạ 3
minh biết nữa ne,Enjoyment,minh biết nữa ne
mấy thằng củ lol việt nam nhảm nhí :)),Disgust,mấy thằng củ lol việt nam nhảm_nhí icon_vui
"tui thi ́ ch va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ , bi ̣ lơ ̉ miê ̣ người",Sadness,tui thi ́ chưa va ̉ i lă ́ mày ma ̀ ăn nhỉ ̀ u no ́ người lă ́ mày mọi người anh ̣ bi ̣ lơ ̉ miê ̣ người
"bếp dầu , nhiều nhà vẫn dùng",Other,bếp dầu nhiều nhà vẫn dùng
nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,Other,nếu thấy phụ_nữ quá phức_tạp để hiểu và chinh_phục thì đây là cách giải_quyết vấn_đề
"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",Fear,thời_buổi bây_chừ chuyện gì cũng có_thể xảy ra vậy nên thôi trất đừng nên tin ai
sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,Enjoyment,sau em này mà làm cô_giáo ngồi kể chuyện hs lại há mồm ra nghe icon_vui
"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à",Anger,con chó đăng video mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à
coi video chưa hiểu gì đã làm ầm lên,Disgust,coi video chưa hiểu gì đã làm ầm lên
chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,Enjoyment,chả mong gì nhiều chỉ mong về già được như hai ông_bà icon_vui icon_vui icon_vui
yêu chết đi được .,Enjoyment,yêu chết đi được
mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,Sadness,mày định lướt qua rồi nhưng khi đọc bình_luận của các bạn và xem kĩ lại thì mày đã rớt nước_mắt icon_buon icon_buon icon_buon người cha thật vĩ_đại
xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,Sadness,xin đi chơi với bạn ngày tổng_kết không cho cứ bắt học miết icon_vui khá mệt
cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,Anger,cá_nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa_nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý_kiến công_nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt
từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,Fear,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá icon_buon icon_buon icon_buon
t gặp quả này thì bỏ xe mà chạy ??,Fear,tao gặp quả này thì bỏ xe mà chạy
thế con trai là của ai cho,Other,thế con_trai là của ai cho
per đây mí chính là cụ tổ của những chiếc sừng này,Surprise,per đây mí chính là cụ tổ của những chiếc sừng này
muốn share về mà sợ bị bạn nè phẫn nộ quá,Fear,muốn share về mà sợ bị bạn nè phẫn_nộ quá
