Sentence,Emotion,Cleaned_Sentence,Predicted_Emotion,Is_Correct
người ta có bạn bè nhìn vui thật,Sadness,người_ta có bạn_bè nhìn vui thật,Enjoyment,False
cho nghỉ viêc mói đúng sao goi là kỷ luật,Surprise,cho nghỉ viêc mói đúng sao goi là kỷ_luật,Disgust,False
nhà thì không xa lắm nhưng chưa bao giờ đi vì sợ bị đè bẹp luôn người =))))),Fear,nhà thì không xa lắm nhưng chưa bao_giờ đi vì sợ bị đè_bẹp luôn người,Sadness,False
bố không thích nộp đấy mày thích ý kiến không,Anger,bố không thích nộp đấy mày thích ý_kiến không,Disgust,False
bắt cóc bỏ đĩa . quanh đi quẩn lại chỉ khổ dân đen thôi !,Other,bắt_cóc bỏ đĩa quanh đi quẩn lại chỉ khổ dân đen thôi,Sadness,False
"anh nhỏ nhẹ xin 100k rồi trước khi đi còn chào người đẹp , đi cẩn thận """,Other,anh nhỏ_nhẹ xin 100k rồi trước khi đi còn chào người đẹp đi cẩn_thận,Enjoyment,False
per trình mày vẫn còn thấp chán =)),Other,per trình mày vẫn còn thấp chán,Sadness,False
ổng quay thiệt mà sao chửi ổng thế . không quay sao máy bạn xem được đó :)),Other,ổng quay thiệt mà sao chửi ổng thế không quay sao máy bạn xem được đó icon_vui,Surprise,False
nghe ngọt thế :((,Enjoyment,nghe ngọt thế icon_buon,Sadness,False
sao lại cứ phải thế nhỉ,Other,sao lại cứ phải thế nhỉ,Surprise,False
mệt vãi .. mà cừời cũng vãi ??????,Enjoyment,mệt vãi mà cừời cũng vãi,Disgust,False
kinh khủng thật :((,Fear,kinh_khủng thật icon_buon,Sadness,False
trơi ơi sao lại cháy chứ,Surprise,trơi ơi sao lại cháy chứ,Other,False
per dạo này ít tung tăng hơn xưa nên hơi trầm cảm dồi chăng 😳,Other,per dạo này ít tung_tăng hơn xưa nên hơi trầm_cảm_dồi chăng icon_ngacnhien,Disgust,False
tao đéo ngờ được đây là trường tao :)))),Surprise,tao đéo ngờ được đây là trường tao icon_vui,Enjoyment,False
:))) ra thấy nó xấu chó thì lại về chặn số à,Other,icon_vui ra thấy nó xấu chó thì lại về chặn số à,Disgust,False
